Base Report_test
Start time:	11/30/2023 12:00:00 AM
End time:	12/1/2023 12:00:00 AM	Print time:	12/1/2023	1:32 PM

Time	1QCA10CL001:av	0QCC10CL001:av	0HRJ20CL001:av	1QCB10CL001:av	0ETH11CW001:av	2HTJ10CW001:av	2HRJ11CW001:av
NH4OH Tank Niveau	CaO Tank niveau	Niv FriAdsSilo	NaOH Tank Nivĺ	Wei RsdSilo	Kalksilo	Wei LigCkSi


%	%	%	%	t	t	t

11/30/2023 12:00:00 AM	42.746	51.440	15.393	74.089	52.497	22.675	36.349
11/30/2023 12:10:00 AM	42.718	51.440	15.393	74.090	52.634	22.643	36.344
11/30/2023 12:20:00 AM	42.693	51.440	15.392	74.085	52.712	22.613	36.336
11/30/2023 12:30:00 AM	42.669	51.440	15.391	74.081	52.807	22.581	36.328
11/30/2023 12:40:00 AM	42.630	51.440	15.390	74.076	53.088	22.550	36.320
11/30/2023 12:50:00 AM	42.598	51.440	15.390	74.071	53.232	22.520	36.312
11/30/2023 1:00:00 AM	42.650	51.440	15.389	74.066	53.286	22.489	36.304
11/30/2023 1:10:00 AM	42.623	51.440	15.390	74.064	53.341	22.457	36.302
11/30/2023 1:20:00 AM	42.609	51.440	15.392	74.065	53.400	22.425	36.302
11/30/2023 1:30:00 AM	42.650	51.440	15.393	74.067	53.480	22.394	36.302
11/30/2023 1:40:00 AM	42.583	51.440	15.395	74.068	53.565	22.363	36.302
11/30/2023 1:50:00 AM	42.565	51.440	15.396	74.070	53.780	22.332	36.302
11/30/2023 2:00:00 AM	42.500	51.440	15.398	74.071	53.851	22.297	36.302
11/30/2023 2:10:00 AM	42.493	51.440	15.398	74.072	53.905	22.264	36.302
11/30/2023 2:20:00 AM	42.470	51.440	15.397	74.070	53.958	22.233	36.302
11/30/2023 2:30:00 AM	42.483	51.440	15.396	74.069	54.244	22.200	36.302
11/30/2023 2:40:00 AM	42.327	51.440	15.395	74.067	54.600	22.162	36.302
11/30/2023 2:50:00 AM	42.325	51.440	15.394	74.066	54.669	22.122	36.302
11/30/2023 3:00:00 AM	42.389	51.440	15.394	74.064	54.732	22.088	36.302
11/30/2023 3:10:00 AM	42.358	51.440	15.393	74.061	54.793	22.055	36.302
11/30/2023 3:20:00 AM	42.368	51.440	15.393	74.055	54.845	22.021	36.302
11/30/2023 3:30:00 AM	42.309	51.440	15.393	74.048	54.896	21.988	36.302
11/30/2023 3:40:00 AM	42.230	51.440	15.393	74.042	54.948	21.952	36.302
11/30/2023 3:50:00 AM	42.276	51.441	15.393	74.036	55.129	21.915	36.302
11/30/2023 4:00:00 AM	42.253	51.442	15.393	74.029	55.494	21.880	36.302
11/30/2023 4:10:00 AM	42.222	51.443	15.393	74.025	55.606	21.844	36.302
11/30/2023 4:20:00 AM	42.197	51.444	15.393	74.025	55.631	21.808	36.302
11/30/2023 4:30:00 AM	42.253	51.444	15.393	74.025	55.655	21.774	36.302
11/30/2023 4:40:00 AM	42.259	51.438	15.393	74.025	55.680	21.743	36.302
11/30/2023 4:50:00 AM	42.166	51.413	15.393	74.025	55.704	21.714	36.302
11/30/2023 5:00:00 AM	42.173	51.387	15.393	74.025	55.729	21.684	36.302
11/30/2023 5:10:00 AM	42.164	51.360	15.393	74.024	55.771	21.651	36.302
11/30/2023 5:20:00 AM	42.114	51.205	15.393	74.021	55.828	21.614	36.302
11/30/2023 5:30:00 AM	42.078	51.133	15.393	74.017	55.885	21.578	36.302
11/30/2023 5:40:00 AM	42.091	51.093	15.393	74.014	56.027	21.545	36.302
11/30/2023 5:50:00 AM	42.046	51.065	15.393	74.011	56.264	21.508	36.302
11/30/2023 6:00:00 AM	42.019	51.063	15.393	74.008	56.381	21.473	36.302
11/30/2023 6:10:00 AM	42.011	51.063	15.393	74.006	56.458	21.440	36.295
11/30/2023 6:20:00 AM	42.007	51.063	15.392	74.006	56.580	21.407	36.286
11/30/2023 6:30:00 AM	42.031	51.063	15.391	74.006	56.766	21.373	36.277
11/30/2023 6:40:00 AM	42.013	51.063	15.390	74.006	56.801	21.338	36.268
11/30/2023 6:50:00 AM	41.941	51.063	15.390	74.006	56.836	21.303	36.267
11/30/2023 7:00:00 AM	41.944	51.062	15.389	74.006	56.871	21.271	36.269
11/30/2023 7:10:00 AM	41.927	51.062	15.389	74.006	56.906	21.238	36.271
11/30/2023 7:20:00 AM	41.943	51.061	15.389	74.006	56.941	21.203	36.272
11/30/2023 7:30:00 AM	41.902	51.060	15.389	74.006	56.969	21.167	36.274
11/30/2023 7:40:00 AM	41.887	51.059	15.389	74.006	56.992	21.133	36.275
11/30/2023 7:50:00 AM	41.937	51.059	15.389	74.006	57.015	21.101	36.272
11/30/2023 8:00:00 AM	41.905	51.059	15.389	74.006	57.038	21.070	36.267
11/30/2023 8:10:00 AM	41.861	51.059	15.388	74.005	57.060	21.036	36.263
11/30/2023 8:20:00 AM	41.891	51.059	15.387	74.002	57.083	20.998	36.259
11/30/2023 8:30:00 AM	41.871	51.059	15.386	73.998	57.107	20.963	36.254
11/30/2023 8:40:00 AM	41.861	51.059	15.386	73.995	57.131	20.930	36.250
11/30/2023 8:50:00 AM	41.807	51.059	15.385	73.992	57.156	20.899	36.249
11/30/2023 9:00:00 AM	41.772	51.059	15.384	73.989	57.180	20.866	36.249
11/30/2023 9:10:00 AM	41.771	51.059	15.383	73.986	57.205	20.833	36.249
11/30/2023 9:20:00 AM	41.866	51.059	15.381	73.982	57.229	20.799	36.249
11/30/2023 9:30:00 AM	41.715	51.059	15.379	73.979	57.316	20.766	36.249
11/30/2023 9:40:00 AM	41.754	51.059	15.378	73.976	57.481	20.728	36.249
11/30/2023 9:50:00 AM	41.863	51.058	15.376	73.973	57.811	20.688	36.249
11/30/2023 10:00:00 AM	41.771	51.058	15.375	73.970	58.065	20.650	36.249
11/30/2023 10:10:00 AM	41.775	51.057	15.375	73.961	58.371	20.614	36.249
11/30/2023 10:20:00 AM	41.736	51.056	15.376	73.942	58.755	20.572	36.249
11/30/2023 10:30:00 AM	41.754	51.055	15.377	73.922	58.839	20.647	36.249
11/30/2023 10:40:00 AM	41.615	51.054	15.377	73.902	58.910	25.247	36.243
11/30/2023 10:50:00 AM	41.636	51.054	15.378	73.883	59.050	32.126	36.221
