Base Report_test
Start time:	12/2/2023 12:00:00 AM
End time:	1/2/2024 12:00:00 AM	Print time:	1/2/2024	8:15 AM

Time	1QCA10CL001:av	0QCC10CL001:av	0HRJ20CL001:av	1QCB10CL001:av	0ETH11CW001:av	2HTJ10CW001:av	2HRJ11CW001:av
NH4OH Tank Niveau	CaO Tank niveau	Niv FriAdsSilo	NaOH Tank Nivĺ	Wei RsdSilo	Kalksilo	Wei LigCkSi


%	%	%	%	t	t	t

12/2/2023 12:00:00 AM	35.208	50.658	10.306	68.382	22.376	45.281	35.849
12/2/2023 12:10:00 AM	35.195	50.658	10.298	68.356	22.498	45.237	35.849
12/2/2023 12:20:00 AM	35.167	50.658	10.290	68.332	22.592	45.193	35.849
12/2/2023 12:30:00 AM	35.133	50.658	10.282	68.309	22.677	45.154	35.849
12/2/2023 12:40:00 AM	35.085	50.658	10.274	68.285	22.961	45.107	35.849
12/2/2023 12:50:00 AM	35.089	50.658	10.266	68.261	23.378	45.051	35.826
12/2/2023 1:00:00 AM	35.120	50.658	10.313	68.236	23.552	45.012	35.801
12/2/2023 1:10:00 AM	35.078	50.658	10.195	68.211	23.618	44.974	35.801
12/2/2023 1:20:00 AM	35.012	50.658	10.208	68.186	23.679	44.936	35.801
12/2/2023 1:30:00 AM	34.970	50.658	10.269	68.157	23.746	44.900	35.801
12/2/2023 1:40:00 AM	34.947	50.658	10.338	68.128	23.830	44.865	35.801
12/2/2023 1:50:00 AM	34.925	50.659	10.331	68.099	23.916	44.830	35.801
12/2/2023 2:00:00 AM	34.904	50.660	10.323	68.070	23.999	44.792	35.801
12/2/2023 2:10:00 AM	34.916	50.660	10.316	68.042	24.080	44.748	35.801
12/2/2023 2:20:00 AM	34.918	50.661	10.309	68.014	24.303	44.704	35.801
12/2/2023 2:30:00 AM	34.775	50.662	10.302	67.986	24.683	44.665	35.801
12/2/2023 2:40:00 AM	34.780	50.663	10.299	67.958	24.798	44.629	35.801
12/2/2023 2:50:00 AM	34.736	50.662	10.298	67.930	24.872	44.595	35.801
12/2/2023 3:00:00 AM	34.682	50.661	10.296	67.900	24.971	44.561	35.801
12/2/2023 3:10:00 AM	34.651	50.660	10.294	67.867	25.147	44.520	35.800
12/2/2023 3:20:00 AM	34.623	50.660	10.293	67.833	25.249	44.481	35.800
12/2/2023 3:30:00 AM	34.598	50.659	10.296	67.799	25.343	44.445	35.800
12/2/2023 3:40:00 AM	34.582	50.658	12.913	67.763	25.432	44.409	35.799
12/2/2023 3:50:00 AM	34.566	50.658	14.906	67.728	25.521	44.370	35.799
12/2/2023 4:00:00 AM	34.550	50.658	14.935	67.695	25.627	44.334	35.799
12/2/2023 4:10:00 AM	34.534	50.658	14.953	67.663	25.811	44.293	35.799
12/2/2023 4:20:00 AM	34.513	50.658	14.937	67.631	26.061	44.250	35.800
12/2/2023 4:30:00 AM	34.487	50.658	14.917	67.601	26.218	44.214	35.800
12/2/2023 4:40:00 AM	34.461	50.655	14.897	67.572	26.370	44.176	35.801
12/2/2023 4:50:00 AM	34.429	50.632	14.877	67.542	26.526	44.139	35.801
12/2/2023 5:00:00 AM	34.405	50.606	14.688	67.506	26.609	44.101	35.801
12/2/2023 5:10:00 AM	34.348	50.580	14.616	67.468	26.678	44.063	35.801
12/2/2023 5:20:00 AM	34.283	50.076	14.611	67.432	26.757	44.026	35.801
12/2/2023 5:30:00 AM	34.250	49.818	14.607	67.401	26.895	43.984	35.801
12/2/2023 5:40:00 AM	34.230	49.805	14.602	67.370	27.258	43.936	35.801
12/2/2023 5:50:00 AM	34.247	49.791	14.597	67.338	27.481	43.891	35.801
12/2/2023 6:00:00 AM	34.180	49.778	14.590	67.301	27.584	43.853	35.801
12/2/2023 6:10:00 AM	34.137	49.764	14.571	67.265	27.658	43.818	35.802
12/2/2023 6:20:00 AM	34.115	49.751	14.550	67.233	27.730	43.784	35.802
12/2/2023 6:30:00 AM	34.096	49.747	14.529	67.204	27.794	43.749	35.803
12/2/2023 6:40:00 AM	34.077	49.747	14.508	67.175	27.857	43.714	35.803
12/2/2023 6:50:00 AM	34.057	49.747	15.712	67.146	27.921	43.680	35.803
12/2/2023 7:00:00 AM	34.033	49.747	16.519	67.118	28.017	43.642	35.803
12/2/2023 7:10:00 AM	34.009	49.747	16.488	67.091	28.156	43.602	35.803
12/2/2023 7:20:00 AM	33.981	49.747	16.401	67.063	28.613	43.558	35.802
12/2/2023 7:30:00 AM	33.931	49.748	16.267	67.033	28.908	43.512	35.802
12/2/2023 7:40:00 AM	33.877	49.749	16.267	67.003	28.996	43.476	35.802
12/2/2023 7:50:00 AM	33.795	49.749	16.268	66.973	29.055	43.441	35.801
12/2/2023 8:00:00 AM	33.730	49.750	16.269	66.944	29.113	43.406	35.801
12/2/2023 8:10:00 AM	33.696	49.751	16.270	66.916	29.177	43.370	35.802
12/2/2023 8:20:00 AM	33.704	49.752	16.271	66.887	29.245	43.337	35.802
12/2/2023 8:30:00 AM	33.532	49.751	16.271	66.859	29.321	43.303	35.803
12/2/2023 8:40:00 AM	33.440	49.751	16.271	66.830	29.631	43.266	35.803
12/2/2023 8:50:00 AM	33.408	49.750	16.271	66.802	29.864	43.225	35.803
12/2/2023 9:00:00 AM	33.422	49.749	16.271	66.774	29.981	43.190	35.804
12/2/2023 9:10:00 AM	33.395	49.748	16.271	66.748	30.047	43.145	35.804
12/2/2023 9:20:00 AM	33.365	49.747	16.268	66.723	30.113	43.113	35.804
12/2/2023 9:30:00 AM	33.311	49.747	16.127	66.697	30.186	43.089	35.804
12/2/2023 9:40:00 AM	33.265	49.747	15.706	66.667	30.268	43.059	35.804
12/2/2023 9:50:00 AM	33.326	49.747	15.653	66.634	30.359	43.022	35.804
12/2/2023 10:00:00 AM	33.256	49.747	15.641	66.601	30.521	42.979	35.803
12/2/2023 10:10:00 AM	33.222	49.747	15.630	66.568	30.883	42.936	35.803
12/2/2023 10:20:00 AM	33.257	49.747	15.619	66.535	31.003	42.896	35.802
12/2/2023 10:30:00 AM	33.243	49.747	15.608	66.502	31.069	42.859	35.802
12/2/2023 10:40:00 AM	33.187	49.746	15.596	66.473	31.137	42.823	35.802
12/2/2023 10:50:00 AM	33.162	49.745	15.571	66.446	31.215	42.787	35.801
